,conv.1,conv.2,conv.3,conv.4,prop.1,prop.2,prop.3,prop.4
unit1,19,177,200,189,3,-1,119,-1
unit2,17,27,15,32,15,-1,15,-1
unit1-range,20,200,200,200,20,200,200,200
unit2-range,20,200,200,200,20,200,200,200
batch_size,512,512,256,1024,512,512,256,1024
